Date,Series,Open,High,Low,Prev Close,ltp,Close,VWAP,52WH,52WL,Volume,Value,No.of Traders
6-Sep-24,EQ,"1,176.00","1,181.35","1,150.80","1,180.55","1,158.75","1,158.75","1,161.22","1,339.65",951.4,"98,74,576","11,46,65,77,799.90","2,11,550"
5-Sep-24,EQ,"1,182.00","1,182.85","1,173.45","1,177.70","1,180.00","1,180.55","1,179.33","1,339.65",951.4,"42,34,766","4,99,42,03,536.30","1,28,572"
4-Sep-24,EQ,"1,182.70","1,189.65","1,173.30","1,191.60","1,179.00","1,177.70","1,177.75","1,339.65",951.4,"65,27,941","7,68,82,71,692.30","2,20,127"
3-Sep-24,EQ,"1,188.00","1,193.55","1,176.70","1,188.80","1,191.00","1,191.60","1,186.88","1,339.65",951.4,"79,20,246","9,40,04,12,970.30","1,74,451"
2-Sep-24,EQ,"1,176.00","1,194.00","1,174.10","1,175.25","1,189.00","1,188.80","1,185.75","1,339.65",951.4,"64,32,362","7,62,71,88,167.30","2,16,075"
30-Aug-24,EQ,"1,177.00","1,182.95","1,171.85","1,175.40","1,179.00","1,175.25","1,175.92","1,339.65",951.4,"1,01,90,506","11,98,32,27,663.65","1,68,053"
29-Aug-24,EQ,"1,169.00","1,179.90","1,163.40","1,170.95","1,175.00","1,175.40","1,173.27","1,339.65",951.4,"72,90,114","8,55,32,56,100.85","2,44,482"
28-Aug-24,EQ,"1,177.00","1,181.70","1,169.35","1,181.25","1,169.90","1,170.95","1,172.25","1,339.65",951.4,"54,83,503","6,42,80,56,142.05","1,54,330"
27-Aug-24,EQ,"1,170.00","1,184.85","1,164.25","1,170.30","1,177.90","1,181.25","1,178.19","1,339.65",951.4,"87,02,113","10,25,27,52,293.05","1,56,791"
26-Aug-24,EQ,"1,171.70","1,175.25","1,166.10","1,165.95","1,171.70","1,170.30","1,170.98","1,339.65",951.4,"33,92,612","3,97,26,70,581.05","90,913"
23-Aug-24,EQ,"1,170.00","1,173.95","1,163.50","1,169.95","1,167.60","1,165.95","1,168.65","1,339.65",943.95,"51,21,962","5,98,58,02,416.35","96,601"
22-Aug-24,EQ,"1,179.70","1,181.00","1,168.95","1,174.40","1,170.00","1,169.95","1,173.37","1,339.65",943.95,"58,41,326","6,85,40,64,563.20","1,62,840"
21-Aug-24,EQ,"1,166.60","1,178.00","1,161.50","1,168.00","1,176.40","1,174.40","1,170.90","1,339.65",943.95,"94,80,630","11,10,09,13,642.45","2,01,270"
20-Aug-24,EQ,"1,158.00","1,177.00","1,154.65","1,153.25","1,165.50","1,168.00","1,169.13","1,339.65",943.95,"67,21,749","7,85,85,83,395.45","1,71,688"
19-Aug-24,EQ,"1,169.00","1,171.30","1,150.20","1,166.85","1,155.00","1,153.25","1,157.22","1,339.65",943.95,"66,91,823","7,74,38,83,012.05","1,18,636"
16-Aug-24,EQ,"1,166.40","1,170.00","1,149.60","1,153.10","1,166.80","1,166.85","1,160.70","1,339.65",928.9,"61,07,134","7,08,85,46,944.35","1,60,066"
14-Aug-24,EQ,"1,159.00","1,159.00","1,148.65","1,159.60","1,152.65","1,153.10","1,152.17","1,339.65",928.9,"50,21,841","5,78,60,06,315.65","1,39,328"
13-Aug-24,EQ,"1,161.35","1,179.60","1,155.40","1,164.30","1,160.65","1,159.60","1,166.32","1,339.65",928.9,"61,80,463","7,20,83,94,970.45","1,86,848"
12-Aug-24,EQ,"1,146.00","1,169.10","1,135.85","1,142.75","1,163.35","1,164.30","1,159.84","1,339.65",928.9,"90,78,384","10,52,94,70,351.40","1,75,596"
9-Aug-24,EQ,"1,152.00","1,155.70","1,139.95","1,138.15","1,142.35","1,142.75","1,147.33","1,339.65",928.9,"62,62,086","7,18,46,98,054.30","1,26,822"
8-Aug-24,EQ,"1,133.10","1,142.80","1,126.00","1,136.80","1,134.00","1,138.15","1,134.61","1,339.65",928.9,"79,03,428","8,96,72,80,558.10","2,15,522"
7-Aug-24,EQ,"1,138.80","1,144.80","1,127.00","1,126.10","1,140.85","1,136.80","1,134.67","1,339.65",928.9,"83,70,312","9,49,75,07,291.25","2,77,455"
6-Aug-24,EQ,"1,140.00","1,151.00","1,123.10","1,133.50","1,127.30","1,126.10","1,132.42","1,339.65",928.9,"85,71,122","9,70,60,82,526.20","2,51,117"
5-Aug-24,EQ,"1,142.00","1,151.45","1,124.30","1,160.85","1,131.50","1,133.50","1,131.75","1,339.65",928.9,"1,20,13,362","13,59,61,64,377.15","2,34,756"
